Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.6571997583E+01   -0.6172476149E+01   -0.3995214344E+00
   -0.6898002988E+01   -0.6647448212E+01   -0.2505547756E+00
   -0.6394871774E+01   -0.6642889011E+01    0.2480172370E+00
   -0.1054975115E+02   -0.1008619438E+02   -0.4635567707E+00
   -0.6373662448E+01   -0.6317459661E+01   -0.5620278716E-01
   -0.6749555664E+01   -0.6702139689E+01   -0.4741597494E-01
   -0.8623665436E+01   -0.8941705058E+01    0.3180396218E+00
   -0.6507302713E+01   -0.6294751400E+01   -0.2125513128E+00
   -0.7120824745E+01   -0.7075130748E+01   -0.4569399661E-01
   -0.8625335350E+01   -0.8626898332E+01    0.1562982178E-02
   -0.9408791311E+01   -0.9253434865E+01   -0.1553564458E+00
   -0.7014895155E+01   -0.7335325260E+01    0.3204301056E+00
   -0.6832555046E+01   -0.6771217524E+01   -0.6133752203E-01
   -0.6268008875E+01   -0.6489556933E+01    0.2215480580E+00
   -0.6385930370E+01   -0.6254203043E+01   -0.1317273271E+00
   -0.6577948061E+01   -0.6358269511E+01   -0.2196785509E+00
   -0.8896259826E+01   -0.8845116409E+01   -0.5114341711E-01
   -0.7862267224E+01   -0.7745549683E+01   -0.1167175411E+00
   -0.8302081812E+01   -0.8748717833E+01    0.4466360217E+00
   -0.7571343657E+01   -0.7685870610E+01    0.1145269524E+00
   -0.6552110866E+01   -0.6532277754E+01   -0.1983311163E-01
   -0.8269552169E+01   -0.7993731987E+01   -0.2758201812E+00
   -0.7998399398E+01   -0.8626699698E+01    0.6283002996E+00
   -0.6184612498E+01   -0.6517073413E+01    0.3324609151E+00
   -0.8456568570E+01   -0.8051777909E+01   -0.4047906604E+00
   -0.7889384852E+01   -0.8239870785E+01    0.3504859333E+00
   -0.7881410328E+01   -0.7764575052E+01   -0.1168352767E+00
   -0.9358840380E+01   -0.9066963102E+01   -0.2918772784E+00
   -0.7046327929E+01   -0.6783753709E+01   -0.2625742202E+00
   -0.6846001883E+01   -0.7222397991E+01    0.3763961087E+00
   -0.8477011402E+01   -0.7984195550E+01   -0.4928158520E+00
   -0.7322816281E+01   -0.8477560393E+01    0.1154744112E+01
   -0.6679345618E+01   -0.6683553604E+01    0.4207986100E-02
   -0.6679982459E+01   -0.6352494181E+01   -0.3274882778E+00
   -0.9038069151E+01   -0.8444133568E+01   -0.5939355827E+00
   -0.8249458757E+01   -0.8626547005E+01    0.3770882478E+00
   -0.7499790958E+01   -0.7356104151E+01   -0.1436868067E+00
   -0.6427986980E+01   -0.6276365640E+01   -0.1516213395E+00
   -0.7389022101E+01   -0.7407097853E+01    0.1807575228E-01
   -0.8537395899E+01   -0.8706522196E+01    0.1691262969E+00
   -0.9042286787E+01   -0.9403875131E+01    0.3615883443E+00
   -0.7387890055E+01   -0.7926494092E+01    0.5386040365E+00
   -0.7163938684E+01   -0.6787703755E+01   -0.3762349290E+00
   -0.8976059076E+01   -0.9177040940E+01    0.2009818637E+00
   -0.7460618914E+01   -0.7416065518E+01   -0.4455339563E-01
   -0.7867214506E+01   -0.8101562445E+01    0.2343479390E+00
   -0.8487634389E+01   -0.8471270453E+01   -0.1636393583E-01
   -0.6303985910E+01   -0.6108964704E+01   -0.1950212060E+00
   -0.9121414163E+01   -0.8688244277E+01   -0.4331698860E+00
   -0.6898201066E+01   -0.6749025236E+01   -0.1491758301E+00
   -0.9405139450E+01   -0.9458720652E+01    0.5358120170E-01
   -0.7618455619E+01   -0.7656192161E+01    0.3773654229E-01
   -0.9965362956E+01   -0.9365574586E+01   -0.5997883698E+00
   -0.6030246956E+01   -0.6131720398E+01    0.1014734417E+00
   -0.6554777160E+01   -0.6359249757E+01   -0.1955274024E+00
   -0.7002505616E+01   -0.6599628083E+01   -0.4028775325E+00
   -0.7457841617E+01   -0.8195442818E+01    0.7376012009E+00
   -0.7328131000E+01   -0.7731660973E+01    0.4035299735E+00
   -0.6962528305E+01   -0.7403253812E+01    0.4407255070E+00
   -0.6948264822E+01   -0.6743219520E+01   -0.2050453025E+00
   -0.9055047488E+01   -0.9269519713E+01    0.2144722258E+00
   -0.7403363937E+01   -0.7563315879E+01    0.1599519422E+00
   -0.6987664662E+01   -0.6771329168E+01   -0.2163354943E+00
   -0.7625605072E+01   -0.7312966273E+01   -0.3126387989E+00
   -0.7509052806E+01   -0.7326339901E+01   -0.1827129048E+00
Prediction RMSE and MaxAE:         0.3407576594        1.1547441124
